runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145219,10,2,2,EA,41.50,20,15.45,3.55,26.80,7.29,8.16,0.00,20,1,1297
20260514_145219,1,0,0,SSP,532.50,20,26.61,15.59,50.42,12.75,13.86,0.00,20,2,1297
20260514_145219,1,1,1,EV,508.50,20,25.41,14.85,45.35,12.30,13.12,0.00,20,2,1297
20260514_145219,1,2,2,EA,476.50,20,23.80,9.49,46.87,11.71,12.09,0.00,20,2,1297
20260514_145219,2,0,0,SSP,266.00,20,25.45,13.97,63.77,12.65,12.80,0.00,20,2,1297
20260514_145219,2,1,1,EV,258.50,20,24.71,13.03,54.76,11.92,12.79,0.00,20,2,1297
20260514_145219,2,2,2,EA,248.50,20,22.94,6.71,50.23,10.65,12.29,0.00,20,2,1297
20260514_145219,3,0,0,SSP,181.00,20,24.41,9.83,54.55,11.96,12.45,0.00,20,2,1297
20260514_145219,3,1,1,EV,180.00,20,24.24,10.34,48.51,11.72,12.51,0.00,20,2,1297
20260514_145219,3,2,2,EA,171.50,20,21.80,6.96,46.50,9.15,12.66,0.00,20,2,1297
20260514_145219,4,0,0,SSP,134.50,20,25.01,6.95,44.05,11.14,13.87,0.00,20,2,1297
20260514_145219,4,1,1,EV,137.50,20,23.56,8.50,48.23,10.82,12.74,0.00,20,2,1297
20260514_145219,4,2,2,EA,129.00,20,22.27,5.82,37.34,9.49,12.78,0.00,20,2,1297
20260514_145219,5,0,0,SSP,134.00,20,27.61,8.99,54.37,13.92,13.69,0.00,20,2,1297
20260514_145219,5,1,1,EV,117.50,20,24.20,8.48,48.24,11.60,12.60,0.00,20,2,1297
20260514_145219,5,2,2,EA,108.00,20,21.92,5.82,38.89,9.63,12.29,0.00,20,2,1297
20260514_145219,6,0,0,SSP,103.00,20,26.16,6.71,53.56,13.16,13.00,0.00,20,2,1297
20260514_145219,6,1,1,EV,98.00,20,25.16,7.96,51.49,12.68,12.48,0.00,20,2,1297
20260514_145219,6,2,2,EA,94.00,20,22.76,7.94,43.01,10.12,12.64,0.00,20,2,1297
20260514_145219,7,0,0,SSP,102.50,20,26.14,8.49,51.97,13.46,12.68,0.00,20,2,1297
20260514_145219,7,1,1,EV,86.00,20,23.62,8.48,44.78,11.27,12.34,0.00,20,2,1297
20260514_145219,7,2,2,EA,83.50,20,22.73,3.04,44.10,10.07,12.65,0.00,20,2,1297
20260514_145219,8,0,0,SSP,79.50,20,25.70,7.98,54.06,12.94,12.75,0.00,20,2,1297
20260514_145219,8,1,1,EV,79.00,20,25.20,8.50,45.52,12.99,12.21,0.00,20,2,1297
20260514_145219,8,2,2,EA,75.00,20,24.02,6.47,47.82,11.79,12.23,0.00,20,2,1297
20260514_145219,9,0,0,SSP,89.00,20,27.02,8.99,49.67,13.40,13.63,0.00,20,2,1297
20260514_145219,9,1,1,EV,75.00,20,25.36,8.48,47.91,13.04,12.31,0.00,20,2,1297
20260514_145219,9,2,2,EA,77.00,20,24.56,6.47,48.98,12.47,12.09,0.00,20,2,1297
20260514_145219,10,0,0,SSP,81.00,20,27.46,6.83,52.60,13.44,14.02,0.00,20,2,1297
20260514_145219,10,1,1,EV,72.50,20,24.55,6.95,43.69,12.73,11.82,0.00,20,2,1297
20260514_145219,10,2,2,EA,75.50,20,25.70,11.11,49.01,12.62,13.07,0.00,20,2,1297
20260514_145219,1,0,0,SSP,662.00,20,33.09,20.24,63.37,16.27,16.82,0.00,20,3,1297
20260514_145219,1,1,1,EV,608.50,20,30.41,17.26,53.06,15.22,15.20,0.00,20,3,1297
20260514_145219,1,2,2,EA,605.50,20,30.27,9.74,55.85,14.62,15.65,0.00,20,3,1297
20260514_145219,2,0,0,SSP,345.00,20,32.90,17.69,88.71,17.05,15.85,0.00,20,3,1297
20260514_145219,2,1,1,EV,316.00,20,30.75,15.36,67.75,15.69,15.06,0.00,20,3,1297
20260514_145219,2,2,2,EA,313.00,20,29.00,8.04,47.55,12.96,16.04,0.00,20,3,1297
20260514_145219,3,0,0,SSP,218.00,20,29.98,14.79,59.81,14.73,15.25,0.00,20,3,1297
20260514_145219,3,1,1,EV,229.00,20,29.81,10.96,54.28,14.22,15.59,0.00,20,3,1297
20260514_145219,3,2,2,EA,212.00,20,27.86,8.18,49.08,12.15,15.70,0.00,20,3,1297
